round,condition,gameMsMax,stopReason,dispatched,events,x_last,minEdgeMargin
1,base,6332.09999998808,victory,18,26,72.08418686000002,None
1,hatch,5717.200000023842,victory,16,26,72.03314379999996,None
1,ship,6331.4000000476835,victory,18,26,72.03126722000006,None
2,base,6318.299999952315,victory,18,26,72.0704883799999,None
2,hatch,6371.299999976158,victory,18,26,72.06938257999998,None
2,ship,8299.399999976158,victory,23,26,72.08645719999994,None
3,base,6348.5999999523165,victory,18,26,72.05885882000005,None
3,hatch,6352.299999952316,victory,18,26,72.04553005999989,None
3,ship,6352.897999976159,victory,18,26,72.06079334000002,None
4,base,6333.860000047684,victory,18,26,72.09252691999998,None
4,hatch,6347.400000000001,victory,18,26,72.02892512000001,None
4,ship,7035.299999964237,victory,19,26,72.02084408000002,None
5,base,6341.999999964237,victory,18,26,72.06256909999993,None
5,hatch,6346.5,victory,18,26,72.05482597999998,None
5,ship,6852.397999976159,victory,19,26,72.04388347999989,None
6,base,6351.4999999761585,victory,18,26,72.02855215999988,None
6,hatch,6343.8,victory,18,26,72.00790039999994,None
6,ship,5793.899999976157,victory,16,26,72.04347155999999,None
7,base,6321.5,victory,18,26,72.04241492000006,None
7,hatch,6331.299999976158,victory,18,26,72.05912042000006,None
7,ship,6357.799999988079,victory,18,26,72.03215161999994,None
8,base,6327.900000000001,victory,18,26,72.06883669999992,None
8,hatch,6342.100000011921,victory,18,26,72.02744755999996,None
8,ship,5738.900000023841,victory,16,26,72.00217144000001,None
9,base,6352.200000023842,victory,18,26,72.04241953999995,None
9,hatch,6349.26199998808,victory,18,26,72.06880994000004,None
9,ship,6337.89999998808,victory,18,26,72.0670109,None
10,base,6319.4999999761585,victory,18,26,72.03016969999995,None
10,hatch,6331.461999976158,victory,18,26,72.07305470000004,None
10,ship,6347.299999988079,victory,18,26,72.01080553999994,None
11,base,6345.400000035763,victory,18,26,72.07657658000005,None
11,hatch,6340.49999998808,victory,18,26,72.00776036,None
11,ship,6349.59999998808,victory,18,26,72.06895351999997,None
12,base,6352.099999999999,victory,18,26,72.09340195999998,None
12,hatch,6361.49,victory,18,26,72.06695341999995,None
12,ship,6350.099999999999,victory,18,26,72.03960271999999,None
13,base,6334.599999976158,victory,18,26,72.08357228000008,None
13,hatch,6328.499999964237,victory,18,26,72.03333055999987,None
13,ship,7656.5,victory,21,26,72.07304048000006,None
14,base,6333.162,victory,18,26,72.05063893999998,None
14,hatch,6343.000000035763,victory,18,26,72.0704603,None
14,ship,6350.699999988079,victory,18,26,72.06830768000003,None
15,base,6326.200000011921,victory,18,26,72.07011241999993,None
15,hatch,6343.800000047683,victory,18,26,72.06422401999991,None
15,ship,6347.300000023842,victory,18,26,72.07307797999992,None
16,base,6336.262000011921,victory,18,26,72.03938083999999,None
16,hatch,6324.699999976158,victory,18,26,72.07205317999995,None
16,ship,6846.199999964238,victory,19,26,72.07552148000003,None
