round,condition,gameMsMax,stopReason,dispatched,events,crush
1,main,5833.3,victory,16,26,35.460
1,loadnodraw,7683.3,victory,21,26,35.370
1,off,4550.0,victory,13,26,35.460
2,main,4550.0,victory,13,26,35.410
2,loadnodraw,5833.3,victory,16,26,35.410
2,off,4533.3,victory,13,26,35.410
3,main,4533.3,victory,13,26,35.410
3,loadnodraw,8200.0,victory,23,26,33.900
3,off,5833.3,victory,16,26,35.410
4,main,4550.0,victory,13,26,35.410
4,loadnodraw,4566.7,victory,13,26,35.410
4,off,4533.3,victory,13,26,35.410
5,main,4566.7,victory,13,26,35.410
5,loadnodraw,19750.0,script-window,26,26,9.320
5,off,4550.0,victory,13,26,35.410
6,main,19683.4,script-window,26,26,8.400
6,loadnodraw,4533.3,victory,13,26,35.460
6,off,4533.3,victory,13,26,35.410
7,main,4533.3,victory,13,26,35.410
7,loadnodraw,4533.3,victory,13,26,35.460
7,off,4550.0,victory,13,26,35.370
8,main,4566.7,victory,13,26,35.410
8,loadnodraw,4566.7,victory,13,26,35.410
8,off,5833.3,victory,16,26,35.410
