round,condition,gameMsMax,stopReason,dispatched,events,crush
1,main,6317.8,victory,18,26,35.410
1,loadnodraw,5786.4,victory,16,26,35.430
1,off,6331.9,victory,18,26,35.370
2,main,6333.5,victory,18,26,35.400
2,loadnodraw,5797.0,victory,16,26,35.400
2,off,6352.5,victory,18,26,35.390
3,main,6310.0,victory,18,26,35.390
3,loadnodraw,7506.8,victory,21,26,34.800
3,off,6333.4,victory,18,26,35.400
4,main,6337.5,victory,18,26,35.390
4,loadnodraw,9976.3,script-window,26,26,30.590
4,off,6489.9,victory,18,26,35.380
5,main,6323.0,victory,18,26,35.410
5,loadnodraw,9877.9,script-window,26,26,30.390
5,off,6329.4,victory,18,26,35.420
6,main,6318.1,victory,18,26,35.420
6,loadnodraw,5786.2,victory,16,26,35.410
6,off,6340.0,victory,18,26,35.370
7,main,6343.7,victory,18,26,35.400
7,loadnodraw,8296.7,victory,23,26,34.620
7,off,9889.5,script-window,26,26,32.600
8,main,6336.4,victory,18,26,35.370
8,loadnodraw,5352.9,victory,15,26,35.390
8,off,6321.2,victory,18,26,35.390
9,main,6329.3,victory,18,26,35.370
9,loadnodraw,9882.2,script-window,26,26,34.200
9,off,6331.8,victory,18,26,35.390
10,main,6345.9,victory,18,26,35.390
10,loadnodraw,6850.7,victory,19,26,35.390
10,off,6344.9,victory,18,26,35.390
11,main,6351.1,victory,18,26,35.380
11,loadnodraw,6860.3,victory,19,26,35.360
11,off,6344.3,victory,18,26,35.390
12,main,6324.7,victory,18,26,35.390
12,loadnodraw,6819.0,victory,19,26,35.390
12,off,6322.1,victory,18,26,35.400
