round,condition,gameMsMax,stopReason,dispatched,events,crush
1,main,6329.1,victory,18,26,35.400
1,delay25,6343.9,victory,18,26,35.410
1,loadnodraw,5786.2,victory,16,26,35.400
2,main,6338.3,victory,18,26,35.390
2,delay25,6344.3,victory,18,26,35.420
2,loadnodraw,9988.2,script-window,26,26,32.410
3,main,6331.5,victory,18,26,35.390
3,delay25,6335.3,victory,18,26,35.390
3,loadnodraw,5360.7,victory,15,26,35.390
4,main,6063.3,victory,17,26,35.370
4,delay25,6356.1,victory,18,26,35.420
4,loadnodraw,6318.9,victory,18,26,35.400
5,main,6338.8,victory,18,26,35.390
5,delay25,6348.4,victory,18,26,35.410
5,loadnodraw,5741.9,victory,16,26,35.260
6,main,6337.4,victory,18,26,35.370
6,delay25,6359.6,victory,18,26,35.390
6,loadnodraw,5786.9,victory,16,26,35.430
7,main,7483.6,victory,20,26,35.380
7,delay25,6343.7,victory,18,26,35.390
7,loadnodraw,9995.0,script-window,26,26,30.850
8,main,6344.0,victory,18,26,35.420
8,delay25,6069.0,victory,17,26,35.420
8,loadnodraw,9979.3,script-window,26,26,33.680
9,main,6346.4,victory,18,26,35.410
9,delay25,6341.3,victory,18,26,35.410
9,loadnodraw,6836.0,victory,19,26,35.230
10,main,6339.9,victory,18,26,35.390
10,delay25,6329.4,victory,18,26,35.410
10,loadnodraw,5785.8,victory,16,26,35.380
11,main,6334.9,victory,18,26,35.370
11,delay25,6333.3,victory,18,26,35.420
11,loadnodraw,6861.5,victory,19,26,35.370
12,main,6316.4,victory,18,26,35.390
12,delay25,5775.3,victory,16,26,35.430
12,loadnodraw,6350.3,victory,18,26,35.370
