round,condition,gameMsMax,stopReason,dispatched,events,crush
1,main,6332.1,victory,18,26,35.370
1,off,6343.8,victory,18,26,35.390
1,nowarm,6346.6,victory,18,26,35.350
1,warm,9940.2,script-window,26,26,30.260
2,main,6337.3,victory,18,26,35.390
2,off,6333.4,victory,18,26,35.370
2,nowarm,6853.9,victory,19,26,35.350
2,warm,5798.8,victory,16,26,35.390
3,main,6884.3,victory,19,26,34.740
3,off,6338.1,victory,18,26,35.380
3,nowarm,6354.6,victory,18,26,35.230
3,warm,9930.7,script-window,26,26,30.170
4,main,6339.1,victory,18,26,35.370
4,off,6323.8,victory,18,26,35.390
4,nowarm,6847.3,victory,19,26,35.360
4,warm,6907.4,victory,19,26,35.120
5,main,6339.3,victory,18,26,35.390
5,off,6316.6,victory,18,26,35.370
5,nowarm,6840.6,victory,19,26,35.220
5,warm,6622.6,victory,18,26,35.390
6,main,6337.6,victory,18,26,35.380
6,off,6339.1,victory,18,26,35.370
6,nowarm,6355.1,victory,18,26,35.370
6,warm,6847.2,victory,19,26,35.380
7,main,6342.1,victory,18,26,35.370
7,off,6329.9,victory,18,26,35.400
7,nowarm,6839.3,victory,19,26,35.390
7,warm,5353.0,victory,15,26,35.390
8,main,6339.4,victory,18,26,35.390
8,off,6339.0,victory,18,26,35.420
8,nowarm,6335.4,victory,18,26,35.360
8,warm,5780.3,victory,16,26,35.410
9,main,6328.5,victory,18,26,35.390
9,off,6326.6,victory,18,26,35.390
9,nowarm,5298.3,victory,15,26,35.380
9,warm,5788.6,victory,16,26,35.400
10,main,6344.3,victory,18,26,35.370
10,off,6323.1,victory,18,26,35.370
10,nowarm,6833.2,victory,19,26,35.210
10,warm,9939.9,script-window,26,26,30.200
11,main,6330.8,victory,18,26,35.400
11,off,9952.4,script-window,26,26,30.280
11,nowarm,6844.4,victory,19,26,35.380
11,warm,5352.9,victory,15,26,35.400
12,main,6328.3,victory,18,26,35.390
12,off,6338.4,victory,18,26,35.390
12,nowarm,6838.0,victory,19,26,35.380
12,warm,6056.4,victory,17,26,35.380
13,main,6335.8,victory,18,26,35.380
13,off,6337.1,victory,18,26,35.370
13,nowarm,5737.0,victory,16,26,35.220
13,warm,6853.9,victory,19,26,35.370
14,main,6540.9,victory,18,26,35.370
14,off,6334.0,victory,18,26,35.380
14,nowarm,6855.8,victory,19,26,35.370
14,warm,6850.3,victory,19,26,35.380
15,main,6330.8,victory,18,26,35.370
15,off,6329.2,victory,18,26,35.380
15,nowarm,8274.4,victory,23,26,33.060
15,warm,9932.7,script-window,26,26,32.570
16,main,6337.5,victory,18,26,35.370
16,off,6332.8,victory,18,26,35.370
16,nowarm,6328.3,victory,18,26,35.380
16,warm,6339.8,victory,18,26,35.370
